stand,latcoord,longcoord
A01,52.36696416666667,13.503761388888888
A02,52.36710444444444,13.504346944444444
A03,52.367287222222224,13.505096388888889
A04,52.36745583333333,13.50565861111111
A05,52.367582222222225,13.506244166666667
A06,52.36770861111111,13.50680611111111
A07,52.367849166666666,13.507415277777778
A08,52.36798972222222,13.508000833333334
A09,52.36813,13.50858611111111
A10,52.36828472222222,13.50921861111111
A11,52.36843916666667,13.509804166666667
A12,52.36857972222222,13.510413055555556
A13,52.368701111111115,13.511234444444444
A14,52.368856111111114,13.511849444444444
A15,52.369013611111114,13.512454722222222
A16,52.369166944444444,13.513062777777778
A17,52.36931194444445,13.51367638888889
A18,52.36945277777778,13.514292777777777
A19,52.369595000000004,13.514915833333333
B01,52.36650451388889,13.504207152777777
B01A,52.36632888888889,13.504317986111111
B02,52.36614284722222,13.504427152777778
B03,52.365759027777784,13.504579305555556
B03A,52.365603194444446,13.50468375
B04,52.36539826388889,13.504818888888888
B05,52.365037847222226,13.505057291666667
B05A,52.364867986111115,13.505175694444445
B06,52.364659236111116,13.505308680555556
B07,52.36430958333333,13.505525
B07A,52.36418756944445,13.505605555555555
B07B,52.36408840277778,13.505667361111112
B08,52.36388368055556,13.505791458333332
B09,52.363215555555556,13.506254930555556
B09A,52.363053750000006,13.506363888888888
B10,52.362851875000004,13.506494236111111
B11,52.36249875,13.50671951388889
B11A,52.36232347222222,13.506835902777777
B12,52.36212375,13.506965555555556
B13,52.36174486111111,13.507233472222222
B13A,52.361585902777776,13.507340486111111
B14,52.36136965277778,13.507484652777777
B15,52.36097305555556,13.507718125
B15A,52.36087840277778,13.507779722222223
B15B,52.36078611111111,13.507842152777778
B16,52.36058916666667,13.507970694444445
C01,52.36004138888889,13.508110833333333
C02,52.360196944444446,13.508715277777778
C03,52.36042694444445,13.509732222222222
C04,52.360616944444445,13.510499722222223
C05A,52.36074361111111,13.511065555555556
C05,52.360772222222224,13.511190277777779
C06,52.36091611111111,13.511804444444444
C07A,52.361019722222224,13.512264722222222
C07,52.36106,13.512399166666667
C08,52.36119222222222,13.513003611111111
C09A,52.36129583333334,13.51346388888889
C09,52.361330555555554,13.5136175
C10,52.36146277777778,13.514202777777777
C11A,52.36157222222222,13.514663055555555
C11,52.36160666666667,13.514816666666666
C12,52.36176777777778,13.515488333333334
C13,52.36200361111111,13.516524166666667
C14A,52.36212444444445,13.517071111111113
C14,52.362164722222225,13.517215
C15,52.36232583333334,13.517925
D01,52.366815833333334,13.499104166666665
D02,52.36643472222222,13.499699375
D03A,52.36621208333334,13.49983798611111
D03,52.36601243055556,13.499960069444445
D04,52.36553298611111,13.500282847222222
D05B,52.365232569444444,13.500464583333333
D05A,52.36535409722222,13.50039576388889
D05,52.365158541666666,13.500505208333333
D06,52.36475638888889,13.500770069444444
D07A,52.36456513888889,13.50089673611111
D07,52.36437895833333,13.501014930555556
D08,52.36403479166667,13.501258402777777
