stand,latcoord,longcoord
2,51.124336319444446,13.760221111111111
3,51.12462194444444,13.760584722222221
4,51.12491020833333,13.760960763888889
7,51.12537666666667,13.762631666666667
8,51.12572472222222,13.763088055555556
9,51.12600138888889,13.763445
10,51.126329444444444,13.763915833333334
18,51.128325625,13.765564513888888
19,51.12862527777778,13.765945763888888
20,51.12894451388889,13.766366111111111
21,51.12925423611111,13.766784375
22,51.12955715277778,13.767192430555555
23,51.12983916666667,13.767596180555556
24,51.130129861111115,13.768010486111113
25,51.13043736111111,13.768431319444446
26,51.13073159722222,13.76882888888889
27,51.1310275,13.769229652777778
28,51.131332083333334,13.769641041666667
29,51.131619791666665,13.770025555555556
30,51.126712222222224,13.764979444444444
31,51.126376388888886,13.765564444444445
32,51.126065277777776,13.766198611111111
33,51.12573916666667,13.766785833333333
34,51.12679958333334,13.76829465277778
35,51.127032291666666,13.76789777777778
36,51.12725993055555,13.767493958333334
37,51.12748868055556,13.767099097222223
38,51.12772763888889,13.766697708333334
H,51.13292666666667,13.772037500000001
