stand,latcoord,longcoord
110,48.353771944444446,11.783121666666668
111,48.353215694444444,11.783266319444445
111A,48.35329118055556,11.783257847222224
111B,48.35314423611111,11.78327375
112,48.352828333333335,11.783190277777779
112X,48.352828333333335,11.783190277777779
113A,48.35234770833333,11.783292777777778
113B,48.3522725,11.78330423611111
113X,48.35238736111111,11.783249652777778
115A,48.35135270833334,11.783493611111112
115B,48.35121708333333,11.783513125
116,48.3508925,11.783542222222222
117A,48.350605486111114,11.783654791666667
117B,48.35043986111111,11.783685208333335
118,48.34999194444445,11.783673333333333
119,48.34948833333333,11.78372
120,48.34899472222222,11.783816944444444
121,48.348641111111114,11.783872777777777
135,48.352632222222226,11.780469166666668
155,48.352468333333334,11.779242222222223
161,48.351125833333334,11.779390000000001
161Y,48.351125833333334,11.779390000000001
162,48.35068666666667,11.779530555555557
163,48.35017972222222,11.779598055555557
163Y,48.35017972222222,11.779598055555557
164,48.349669722222224,11.779744444444445
164Y,48.349669722222224,11.779744444444445
171,48.35738222222222,11.776164166666668
172,48.35695416666667,11.776246666666667
173,48.356519166666665,11.776300833333334
174,48.356095277777776,11.776375000000002
175,48.355608611111116,11.776459444444445
181,48.354956111111115,11.77648138888889
182,48.354595833333335,11.776567222222223
183,48.354171111111114,11.776627222222222
184,48.353681111111115,11.776719166666668
185,48.353215,11.7768075
186,48.352715,11.776893888888889
187,48.352229722222226,11.776985000000002
188,48.35180555555556,11.777052222222222
189,48.35142527777778,11.777126666666668
191,48.350907222222226,11.777230555555557
192,48.350477222222224,11.777302500000001
193,48.35003638888889,11.77738138888889
194,48.3496175,11.777457222222223
195,48.34918583333334,11.777534722222223
196,48.34870888888889,11.777629166666667
201,48.35892944444445,11.7921975
202A,48.35851118055555,11.792368194444444
202B,48.358407291666666,11.792383055555556
203,48.358156875,11.792432708333333
204A,48.35789347222222,11.792441944444445
204B,48.35778041666667,11.792458611111112
205A,48.35747618055556,11.79246486111111
205B,48.3573775,11.792479444444444
206,48.35711923611111,11.792511944444444
207A,48.356906180555555,11.792552291666667
207B,48.356764375,11.792581388888888
208,48.356432500000004,11.792746388888888
209A,48.35605270833334,11.792740694444444
209B,48.35589118055556,11.792765
210A,48.35560493055556,11.792864513888889
210B,48.35547048611111,11.79288423611111
211,48.35526625,11.792938819444444
212A,48.35501486111111,11.792955416666667
212B,48.35489458333333,11.792971180555556
213A,48.354603194444444,11.793055138888889
213B,48.35444152777778,11.79307875
214,48.35411611111111,11.79316
215A,48.35356506944444,11.793201041666666
215B,48.353443472222224,11.79321875
216,48.353049444444444,11.7932675
217A,48.35272215277778,11.793319166666667
