stand,latcoord,longcoord
01,49.49449888888889,11.083686944444445
09,49.495068055555556,11.07849388888889
10,49.49511388888889,11.077903888888889
11,49.49519277777778,11.077243888888889
12,49.495246111111115,11.076595
13,49.495295,11.075823055555555
14,49.49535388888889,11.07513111111111
15,49.495448055555556,11.074525
16,49.49548305555555,11.073923888888888
H1,49.49563611111111,11.073374722222223
26,49.495555555555555,11.085733055555556
30,49.49579888888889,11.082583055555554
44,49.496452777777776,11.068956944444444
81,49.49550277777778,11.07138611111111
GAT-T2,49.49449243055555,11.069167986111111
GAT-G3,49.496479791666665,11.067614166666665
GAT-G2,49.49505872222222,11.07368861111111
R9,49.49405098765432,11.073951697530864
R11,49.49515018518519,11.06794912037037
