stand,latcoord,longcoord
A1,49.30949604166666,10.634692291666665
A2,49.30971145833333,10.634627708333333
A3,49.30992645833333,10.634561527777777
A4,49.31014166666667,10.634497569444443
A5,49.31035631944444,10.634432986111111
A6,49.310571180555556,10.634367291666667
B1,49.30954916666666,10.635101944444443
B2,49.30976493055555,10.635037430555556
B3,49.309979999999996,10.634971527777777
B4,49.31019527777778,10.634906805555556
B5,49.310409791666665,10.634842013888889
B6,49.310624930555555,10.63477611111111
C1,49.309666319444446,10.636005277777777
C2,49.309881805555555,10.63594076388889
C3,49.31009652777777,10.635875763888889
C4,49.31031118055556,10.635807777777778
C5,49.31052659722222,10.635742083333334
C6,49.31074131944444,10.635677013888888
D1,49.30971965277777,10.636413888888889
D2,49.30993506944444,10.636348263888888
D3,49.31014972222222,10.63628298611111
D4,49.310364791666665,10.636217152777778
D5,49.310580277777774,10.636152708333332
D6,49.31079458333333,10.636086458333333
E1,49.30990375,10.637403194444444
E2,49.310172986111105,10.637321041666667
E3,49.310441874999995,10.637240069444445
E4,49.31071083333333,10.637159305555555
E5,49.31097923611111,10.63707638888889
F1,49.310086874999996,10.638819305555554
F2,49.31035645833333,10.638738055555555
F3,49.310625625,10.638656458333333
F4,49.310894375,10.638574097222222
F5,49.311163263888886,10.638492638888888
G1,49.31027965277778,10.640408263888888
G2,49.31081666666667,10.640246180555554
G3,49.31115194444444,10.640143680555555
G4,49.31148861111111,10.640040347222222
H1,49.31038833333333,10.64154875
H2,49.31062201388889,10.641477986111111
H3,49.31086326388888,10.641405069444444
H4,49.31108833333333,10.641337013888888
I1,49.310505625,10.642452430555554
I2,49.31073951388889,10.642381388888888
I3,49.310980416666666,10.642308055555555
I4,49.31120555555555,10.642241041666667
J1,49.31062284722222,10.64335736111111
J2,49.310856666666666,10.643286666666667
J3,49.31109791666667,10.64321375
K1,49.31073979166666,10.644261041666667
K2,49.310973402777776,10.644190694444443
K3,49.311215069444444,10.644117430555555
L1,49.31085659722222,10.645166249999999
L2,49.31109090277778,10.645094652777777
L3,49.31133249999999,10.645021041666666
M1,49.31097423611111,10.646070972222223
M2,49.311208541666666,10.645999722222221
N1,49.31109118055555,10.646974513888889
N2,49.31132534722222,10.646904444444445
O1,49.31010499999999,10.645095138888887
O2,49.310169305555554,10.645590208333333
O3,49.310233124999996,10.646084305555554
O4,49.31029763888888,10.646578125
O5,49.31036194444444,10.647071666666665
MOC1,49.309334236111106,10.633458472222223
MOC2,49.309807569444445,10.633656041666667
VIP,49.31157486111111,10.638502777777777
HNG1,49.31151907407407,10.647875231481482
HNG2,49.31168365740741,10.645553402777777
HNG3,49.31099316666666,10.634394972222221
HNG4,49.310343829365074,10.633398670634922
HNG5,49.309592888888886,10.632910944444445
