stand,latcoord,longcoord
AIS,51.119376736111114,9.282620347222224
HNG3,51.12036055555556,9.285505
HNG4,51.11936305555555,9.285959930555556
HNG5,51.11896127777778,9.288276277777777
HNG6,51.11894455555556,9.290139111111111
HNG8a,51.11338548611111,9.278993819444445
HNG8b,51.112566388888894,9.282242986111111
RMP1,51.115950069444445,9.291935555555556
RMP2,51.11779027777778,9.291103541666667
RMP3,51.11764631944445,9.289764722222223
RMP4,51.11820645833333,9.28417701388889
RMP5,51.11359847222222,9.281268541666666
RMP6,51.112189375,9.284758958333333
