stand,latcoord,longcoord
1,49.390962152777774,9.963458472222221
2,49.39062277777778,9.963192708333333
3,49.390262638888885,9.962909861111111
4,49.38992270833333,9.962640069444443
5,49.39104493055555,9.962733125
6,49.390720208333335,9.962479027777777
7,49.39034854166667,9.962189097222222
8,49.39000673611111,9.961920625
9,49.390695,9.961489583333332
10,49.39032465277778,9.96120513888889
11,49.38996673611111,9.960818333333332
12,49.39003090277778,9.960215694444443
13,49.390096875,9.959597638888887
14,49.39016145833333,9.958986736111111
15,49.39022534722222,9.958385208333333
16,49.390290694444445,9.957758888888888
C1,49.39065902777778,9.959881527777778
C2,49.390776736111114,9.960543680555556
F1,49.39058201388889,9.960215208333333
F2,49.390931180555555,9.960311180555555
F3,49.39124576388889,9.96003423611111
APN3,49.38925798611111,9.962873263888888
APN4,49.38910722222222,9.961851666666666
APN5,49.389293680555554,9.960833263888887
APN6,49.38977701388889,9.95739736111111
APN7,49.389785208333336,9.955818680555554
APN8,49.389991736111114,9.954111249999999
SAR,49.39057326388889,9.965699166666667
CIV,49.39527583333333,9.967920694444445
