stand,latcoord,longcoord
1,49.47050416666667,10.384419999999999
2,49.47084604166667,10.385472083333333
3,49.47106763888889,10.386153402777778
4,49.47128805555556,10.386828333333334
A STANDS,49.47589490740741,10.386103703703704
A STANDS,49.47382246527778,10.382552777777779
B STANDS,49.474462555555554,10.383431999999999
C STANDS,49.474968611111116,10.38438861111111
D STANDS,49.47533583333333,10.385517986111111
E STANDS,49.47723611111111,10.383181222222223
F STANDS,49.47669761111111,10.381055722222223
G STANDS,49.473016875,10.381579722222224
H STANDS,49.47529201388889,10.388493958333333
I STANDS,49.47578201388889,10.387925972222222
WEST HNG,49.47588932539683,10.37924373015873
